id;acronym;status;title;startDate;endDate;totalCost;ecMaxContribution;legalBasis;topics;ecSignatureDate;frameworkProgramme;masterCall;subCall;fundingScheme;nature;objective;contentUpdateDate;rcn
101034345;DOROTHY;SIGNED;DevelOp interdisciplinaRy apprOaches to healTH crises collaborativelY’;01.09.21;31.08.26;5517000;2758500;H2020-EU.1.3.;MSCA-COFUND-2020;27.04.21;H2020;H2020-MSCA-COFUND-2020;H2020-MSCA-COFUND-2020;MSCA-COFUND-FP;;Responding to the need to equip European societies with multi-disciplinary expertise to tackle future public health crises, DOROTHY COFUND will recruit, train and launch the careers of 25 excellent fellows through 36-month fellowships (18 months overseas and 18 months in Ireland). Postdoctoral researchers  from all disciplines will be eligible (e.g. epidemiology, engineering of materials, diagnostic tools, psychology, economics, social history, education, sociology, political science, medical and health humanities and philosophy), as long as their research projects fall within the remit of public-health crises.DOROTHY's goals are:-Support fellows’ career development, through excellent training and supervision and mentoring, and prepare them for future career opportunities by means of the exceptional  skills and timely and topical experience that will be gained through these fellowships. - Create  a critical mass of well-networked experts, from all disciplinary areas, who will be  fully able to engage with the Irish and EU innovation ecosystem, through the set-up of an innovative multidisciplinary research and training platform. These individuals will be trained to tackle future public-health crises in ways that will lead to positive societal impact.-Promote the dissemination and communication of impactful research beyond traditional academic channels, targeting policymakers and population at large , with the objective of contributing to resourceful and resilient societies. - Pioneer an innovative multidisciplinary approach to the way public health crises are understood and tackled.  As they are broad-ranging and complex phenomena, with multi-issue implications, solutions cannot prescind from the cooperation between disciplines, sectors and research areas. DOROTHY, which shows the feasibility of that, aims to become a replicable template for multidisciplinary, international and intersectoral training approaches.;02.09.21 20:45;235801
101034926;CNergy;SIGNED;Carbon Nanomembranes for Energy Storage Applications;01.05.21;31.01.22;0;100000;;FETOPEN-03-2018-2019-2020;;H2020;;H2020-FETOPEN-2018-2019-2020-4;CSA-LSP;;CNM Technologies (CNMT) has developed a highly permeable and selective composite membrane with a nanometre-thin carbon nanomembrane (CNM) as active layer, which is – in the FET-open project ITS-THIN – introduced into demanding water separation applications. CNMT plans in a joint venture with the Dutch SME BLUE-Tec (also partner in ITS-THIN) to introduce these membranes into the water filtration market. Recently, scientists at Friedrich-Schiller University Jena (FSU) showed in the framework of the Graphene FET-flagship a high proton and lithium ion permeance of CNMs. Combining these findings with the ability to produce large-area CNM-composite membranes, a fully new technology is emerging: the use of ultrathin CNMs as separator membranes or proton exchange membranes (PEM) in battery and fuel cell applications. Thinner membranes promise a faster and more selective ion transport resulting in smaller, more powerful, and more reliable energy storage devices. This new window of opportunity will be explored in this feasibility study. In case of a positive outcome, CNergy will result in a business and action plan, how to introduce CNMs into batteries and fuel cells.;21.05.21 11:29;235780
957151;SATELLITE IA;SIGNED;Advanced MMICs for SOTM and satellites constellations;01.10.20;31.12.21;0;109500;H2020-EU.2.3.;INNOSUP-02-2019-2020;15.09.20;H2020;H2020-INNOSUP-2018-2020;H2020-INNOSUP-2020-02;CSA-LSP;;The proliferation of LEO (Low Earth Orbit) and MEO (Medium Earth Orbit) satellite constellations is changing the requirements needed by satellites and antennas in order to support the bandwidth and beam agility to accommodate the much more challenging tracking requirements uniquely associated with NGSO (non-geostationary orbit) operations. The development of beamforming techniques beyond today’s state-of-the-art is an important demand in the telecommunications industry. WIMMIC is currently developing a novel beamforming system for the ground antenna market. We now want, through SME Innovation Associate programme, to implement our expertise in this area to develop a beamformer to be implemented in telecommunication satellites. This is an important business innovation opportunity as there are no similar products in the market yet. For this, we need and IA expert in space qualified processes.;05.10.21 18:36;231593
970958;TilePlus;SIGNED;Ground-breaking roof tile solution for solar energy collection;01.06.21;31.05.23;3472500;2430750;;EIC-FTI-2018-2020;;H2020;;H2020-EIC-FTI-2018-2020;IA;;The overall objective of the project is to mature, qualify and enable a swift market launch and scale-up of our revolutionary solar roof technology with the overarching aim to become the new reference for solar roof technology in Europe and beyond.Our disruptive E-Tile+ solution is the first solar system made of real roof tiles, having the same size, shape and appearance as normal roof tiles. These features, in contrast to standard solar panels or tiles, entail high ease of installment (40% lower installation time), reliability (i.e. 30% higher lifetime and lower maintenance costs) and safety (<120V operations vs. 400V), as well as increased exploitation of available roof area (30% more). With E-Tile+, 20-30 million roofs across the EU, which cannot be served with standard solar panels today, could be targeted to harvest solar energy. Furthermore, our unique and patented tiles contacting approach (plug-and-play and parallel connection) provides more power output (20% higher conversion efficiency) than today’s solar panels. The latter are connected in-series and thus suffer from shadow effects, high additional costs and danger (high-voltage operations that require specially qualified electricians). Hence, E-Tile+ is a solar system specifically designed for the needs of construction companies, complying with upcoming energy regulations and solving the current issues of traditional PV roof panels.This FTI project will mature E-Tile+ in terms of performance, manufacturing cost, production yield and ensure full qualification of our product for its launch in our target markets, with a Business Plan adapted to guarantee a fast and sustained market entry. TilePlus project will address the solar roof market. We will argue that E-Tile+ can be installed on 13,700 roofs, while providing 142GWh in year 5 post-project, generating accumulated revenues of €267m and net profits of €156m, create 65 new FTEs among the consortium and unlocking CO2 emission cuts of 64.4kt.;21.05.21 14:25;236314
970564;IMPOWER2X;SIGNED;INERATEC Modular Plants for Renewable Chemical Products;01.05.21;30.04.23;3492082.5;2444457.75;;EIC-SMEInst-2018-2020;;H2020;;H2020-EIC-SMEInst-2018-2020-3;SME-2b;;INERATEC (IC) sells modular chemical plants for the production of CO2-neutral fuels and materials based on greenhouse gases and renewable power. IC`s disruptive innovation is a micro-structured reactor technology, which can be integrated into containers, allowing a numbering-up that makes the exploration of local and world-scale renewable feedstock sources economically feasible. The Fischer-Tropsch reactor is simultaneously producing e-Diesel and e-kerosene – two renewable products, which, after separation and final conditioning, can help customers in road transport and aviation to significantly reduce their CO2 footprint.  IC has implemented 10 demonstration plants so far, reaching TRL 7. With IMPOWER2X TRL 9 is reachable.To become even more successful, IC must transform its technology from demonstration applications to industrial application, consequently reducing the costs to provide the technology. To achieve that, existing plant concepts will be modularized and standardized, a serial production of the modules as well as the reactors built up and plants implemented at industrial scale and at customers’ sites. Additionally, the public and political acceptance for renewable fuels must be sharpened.IC will be able to either sell its plants or to provide long-term off-take agreements to customers in the field of e Diesel and e-kerosene, finally allowing to reduce the CO2 footprint of the individual customers by nearly 100%. Geographical sweet spots as well as promising customers worldwide will mainly be targeted.IMPOWER2X is in alignment with IC’s strategy of strengthening its position as market leader for synthetic, renewable fuel. With IC’s solution, customers and countries will be able to reach their climate targets and positively contribute to the environmental targets. This way the proposal serves the goals of the Green Deal by supporting the EU´s climate mitigation ambitions by helping to come to a clean and sustainable mobility and industry.;21.05.21 14:24;236312
101026478;MCExtrusion;SIGNED;Mechanisms of Cell Extrusion controlling Tissue Homeostasis in the Intestine;01.06.21;31.05.23;187572.48;187572.48;;MSCA-IF-2020;;H2020;;H2020-MSCA-IF-2020;MSCA-IF-EF-ST;;The intestinal epithelium undergoes continuous self-renewal through coordination of cell proliferation in the crypt and cell removal in the villus region. The aim of this project is to elucidate the mechanisms controlling the removal of differentiated cells from the villus. Preliminary data indicate that most extruding cells are non-apoptotic suggesting alternative mechanisms regulating this key homeostatic event. Cells might either commit to extrusion through specific differentiation programs or local tissue mechanical constraints might force the extrusion of otherwise indistinguishable cells. Feedback between cell fate and mechanical constraints can be also envisaged. Here I propose to identify genes that control cell extrusion by analyzing the dynamic transcriptomic signature of the mouse intestinal epithelium using nascent mRNA sequencing (scEU-seq) and pharmacologic inhibition of candidate pathways in intestinal organoids. Target genes will be functionally validated by a CRISPR-Cas9-mediated knockout screen. This analysis will be flanked by experiments investigating a potential role of tissue-scale mechanical forces in cell extrusion. I will measure the mechanical properties of the intestinal epithelium and obtain a detailed description of the morphological dynamics characterizing cell extrusion using live imaging and 3D-shape reconstruction. Precise manipulation of cortical tension by means of laser ablation combined with subcellular optogenetics will be used to functionally perturb tissue mechanics and reveal the impact of cell contractility and tissue tension on the extrusion process. Collectively, this project will help understanding how tissue homeostasis in the intestinal epithelium is maintained and dissect the relative contribution of genetic signaling circuits and tissue mechanics in regulating cell extrusion.;03.05.21 21:40;235643
101000160;chemGLIO;SIGNED;Chemical synthesis of a new drug family to treat glioblastoma multiforme (GBM), the highest global unmet need in oncology;01.11.20;31.10.21;0;119035;;INNOSUP-02-2019-2020;;H2020;;H2020-INNOSUP-2020-02;CSA-LSP;;"Survival rates are increasing for most cancers but remain dismal for brain tumours in adults and children. Gliomas constitute 60% of all brain tumours and 50% of these are considered aggressive malignant tumours. Among aggressive gliomas, glioblastoma multiforme (GBM) is the deadliest and remains largely incurable. Our goal is to develop the first GBM drug for both adults and children, to improve its «universally miserable outcomes». We have discovered a novel family of compounds that are cytotoxic to cancer cells, especially to GBM. In our preclinical studies, our lead drug from these proprietary compounds (GLIX1) showed total elimination of GBM tumour mass in 50% of mice, and tumour regression in all mice.We now need to further develop GLIX1 in order to reach human clinical trials, and ultimately approval for clinical use. The critical aspects of this development includes: the establishment and optimization of a chemical synthesis method for GLIX1; synthesis of small batches and subsequent large-scale production for pre-clinical and clinical studies; and chemistry, manufacturing, and controls (CMC) related regulatory affairs.Hemispherian does not have these skills in-house, albeit they are extremely critical for the success of any drug. In that regard, the SME Innovation Associate Programme fits perfectly into our plan of boosting R&D activities within chemical synthesis. Through the recruitment of an Innovation Associate and implementation of the chemGLIO project, we will develop our novel chemical synthesis method and utilise it in the development of our ground-breaking treatment for GBM.";05.03.21 15:26;231487
955931;CervixCare;SIGNED;Validation of Cervical Stiffness Characterization for Prenatal Care and Preterm Birth Diagnostics;30.11.20;27.02.22;0;159250;H2020-EU.2.3.;INNOSUP-02-2019-2020;01.09.20;H2020;H2020-INNOSUP-2018-2020;H2020-INNOSUP-2020-02;CSA-LSP;;Pregnolia was founded in 2016, as a spin-off from the ETH Zurich and aims to be the first company selling a diagnostic device to determine the risk of Premature Birth (PTB) based on the measurements of cervical tissue stiffness to provide a solution that is usable by any woman undergoing routine pregnancy examinations. The goal of CervixCare is to scientifically and technologically characterize the gynaecological device in terms of measuring functions and gather clinical evidence to validate the diagnostic value of the medical device.The uniqueness of the system relies on its novel methodology to detect the risk of PTB, as there is no other commercially available solution based on the cervix stiffness. The proposed recruitment of an Innovation Associate in CervixCare will have significant impact on the business opportunities of Pregnolia by bringing in lacking expertise for the validation and certification of Pregnolia’s System into a diagnostic medical device.  The envisaged grant will help to overcome the recruitment barriers of being a relatively unknown, small start-up enterprise that cannot compete with larger companies due to limited visibility, salary, recruitment budget and (perceived) career opportunities.CervixCare requires a multi-disciplinary scientist that understands the biomechanics for soft tissue, is able to model/simulate data by performing experiments and is able to use data for complex requirements for clinical validation and regulation of the diagnostic medical device. The main added value of the CervixCare project for the IA is the opportunity to pursue the transition from an academic environment focusing on basic research to a business environment focusing on developing competitive and cutting-edge products. Next to this, the IA will have the opportunity to influence and participate in the early stages of a new and innovative diagnostic device company.;22.10.21 10:50;231551
101024700;HeadStrong;SIGNED;On the head of snakes: form, function and adaptation to life in dense media;23.03.22;22.03.24;224933.76;224933.76;;MSCA-IF-2020;;H2020;;H2020-MSCA-IF-2020;MSCA-IF-EF-SE;;Environments impact organism diversity and drive convergence—whereby distantly related species share phenotypes due to adaptation to similar environments (e.g. bird, bat wings). Evolutionary studies of ‘environment’ often apply arbitrary categories (e.g. fossorial, arboreal) that vaguely blend biotic and abiotic factors, limiting quantitative studies of form-function links. Innovatively, this project will test the hypothesis that a continuous physical variable (substrate density) has driven head shape adaptation. Under this hypothesis, a density gradient mirrors a phenotypic response gradient. Snakes are a superb system to study head shape adaptations because of: 1) spectacular taxonomic and phenotypic diversity, including many independent origins of aquatic and burrowing forms, and 2) limblessness, requiring snake heads to adapt to demands for locomotion as well as feeding, and protecting sensory organs. Similarities in aquatic and burrowing snake heads have been explained by adaptation to mostly unspecified environmental factors. Testing the hypothesis that variation in head shape is explained by substrate density will provide a fresh perspective on debates about the possibly aquatic or burrowing origin of snakes. I will quantify: a) head shape of snakes living in substrates of various densities, b) mechanical forces undergone by heads and skulls during headfirst locomotion, c) integration among head, skull and braincase shape. These data will be analysed in a comparative phylogenetic framework. HeadStrong combines 3D imaging, mechanics experiments with a snake-like robot and computer simulations that will be performed in globally leading institutions with unrivalled resources in terms of a vast reptile collection, outstanding imaging facilities, and expert staff. HeadStrong’s originality and interdisciplinary nature will generate exceptional datasets and high-profile outputs and establish the applicant as an innovative leader in functional biology.;03.06.21 01:14;234605
968565;OPEN-LUNGS;SIGNED;Pulsehaler™ - A Breakthrough Treatment  for COPD;01.03.21;28.02.23;1257822.5;880475.75;;EIC-SMEInst-2018-2020;;H2020;;H2020-EIC-SMEInst-2018-2020-3;SME-2b;;Chronic Obstructive Pulmonary Disease (COPD) is a progressive, debilitating, disease of the lungs which affects 50M Europeans and kills 160,000 every year, with an annual cost burden of €141B.  Respinova Ltd. has developed a novel device, called Pulsehaler™, to treat COPD in a revolutionary way by re-opening the small airways which are known to collapse in COPD patients thereby making it increasingly difficult to breathe. No other COPD treatment in the market today can effectively open these airways. In a clinical trial, PulseHaler™ was shown to substantially improve exercise capacity (the strongest predictor of morbidity and mortality), breathing ability, and quality of life of COPD sufferers. If Pulsehaler™ can reduce costs by the same magnitude to which it has been demonstrated to improve patients’ exercise capacity, the current cost burden of COPD in Europe could be reduced by up to €21B annually.We intend to complete several actions in this project which will bring Pulsehaler™ to the commercial market, and allow Respinova to scale up into a world leader in treating respiratory diseases. A multicenter international clinical trial will be conducted to further build data on Pulsehaler efficacy and support marketing launch. We will obtain CE Mark regulatory approval, and proceed to launch the Pulsehaler™ in the market, scaling up sales, marketing, and production.  Respinova Ltd. is a SME based in Israel with 12 employees currently. We have a seasoned management team with decades of combined medical device, business and leadership experience. We are a Horizon 2020 SME Phase II SME grant winner, and two-time EIC Seal of Excellence winner, for our Pulsehaler™ technology.;09.04.21 11:02;233603
